0001	482
0002	230
0003	538
0005	884
0006	1388
0010	2647
0011	1722
0012	1571
0013	1522
0050	2013
0051	2747
0052	2127
0070	2574
0080	8037
0100	608
0101	575
0200	670
0201	600
0300	676
0301	576
0400	719
0401	638
0500	691
0501	631
0600	721
0601	678
0700	867
0701	799
0800	640
0801	638
0900	748
0901	661
1000	614
1001	667
1100	855
1101	806
1200	735
1201	678
1300	867
1301	861
1400	862
1401	848
1500	941
1501	907
1600	1066
1601	987
1700	999
1701	979
1800	915
1801	842
1900	963
1901	941
2000	803
2001	818
2100	952
2101	861
2200	1005
2201	952
2300	1015
2301	907
2400	1033
2401	922
2500	1035
2501	993
2600	1070
2601	978
2700	1096
2701	1013
2800	1048
2801	1035
2900	1027
2901	976
3000	765
3001	812
3100	964
3101	829
3200	958
3201	930
3300	1043
3301	851
3400	1074
3401	940
3500	1013
3501	946
3600	1031
3601	899
3700	1082
3701	1005
3800	1001
3801	855
3900	1019
3901	914
4000	833
4001	812
4100	887
4101	869
4200	956
4201	863
4300	952
4301	849
4400	1003
4401	898
4500	1004
4501	912
4600	977
4601	888
4700	1067
4701	967
4800	934
4801	908
4900	964
4901	863
5000	716
5001	3099
9000	635
9001	457
9010	481
9011	245
9020	460
9021	205
9030	438
9031	232
9040	500
9041	303
9050	431
9051	282
9060	581
9061	353
9070	535
9071	450
9080	359
9081	240
9090	576
9091	299
9100	370
9101	244
9110	597
9111	414
9120	534
9121	353
9130	565
9131	410
9140	625
9141	422
9150	625
9151	485
9160	776
9161	678
9170	845
9171	666
9180	698
9181	491
9190	784
9191	589
9200	410
9201	330
9300	381
9301	354
9400	536
9401	303
9500	511
9501	291
9600	578
9601	512
9700	651
9701	541
9800	412
9801	299
9900	584
9901	417
